URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-printed-cotton-t-shirt/17385514/buy,17385514,Roadster,Western,tshirts,Women,roadster women pack of 2 printed cotton t shirt,,1398,50% OFF,"XS, S, M, L, XL",4.1,921
https://www.myntra.com/jeans/kook-n-keech/kook-n-keech-women-black--blue-boyfriend-fit-mid-rise-colourblocked-cropped-jeans/7255283/buy,7255283,Kook N Keech,Western,jeans,Women,kook n keech women black  blue boyfriend fit mid rise colourblocked cropped jeans,,1899,60% OFF,"26, 28, 30, 32, 34",4.2,921
https://www.myntra.com/jeans/roadster/roadster-women-blue-skinny-fit-high-rise-clean-look-stretchable-cropped-jeans/6831717/buy,6831717,Roadster,Western,jeans,Women,roadster women blue skinny fit high rise clean look stretchable cropped jeans,,2099,65% OFF,"26, 28, 30, 32, 34, 36",4,921
https://www.myntra.com/track-pants/tokyo-talkies/tokyo-talkies-women-green-solid-slim-fit-track-pants/14154082/buy,14154082,Tokyo Talkies,Western,track-pants,Women,tokyo talkies women green solid slim fit track pants,,999,53% OFF,"S, M, L, XL",4.2,921
https://www.myntra.com/briefs/us-polo-assn/us-polo-assn-men-assorted-briefs-z9i615-615/10248053/buy,10248053,U.S. Polo Assn.,Inner Wear &  Sleep Wear,briefs,Men,us polo assn men assorted briefs z9i615 615,,319,,"S, M, L",3.7,920
https://www.myntra.com/kurtas/yuris/yuris-women-pink--white-printed-straight-kurta/10054361/buy,10054361,Yuris,Indian Wear,kurtas,Women,yuris women pink  white printed straight kurta,659,1199,45% OFF,"S, M, L, XL, XXL, 3XL",4.3,920
https://www.myntra.com/kurtas/herenow/herenow-women-blue--white-printed-straight-kurta/13007406/buy,13007406,HERE&NOW,Plus Size,kurtas,Women,herenow women blue  white printed straight kurta,389,1299,70% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,920
https://www.myntra.com/tshirts/kook-n-keech/kook-n-keech-women-black-printed-round-neck-boxy-pure-cotton-t-shirt/10926786/buy,10926786,Kook N Keech,Western,tshirts,Women,kook n keech women black printed round neck boxy pure cotton t shirt,,1099,55% OFF,"XS, S, M, L, XL",4.4,920
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-pure-cotton-t-shirts/17381626/buy,17381626,Roadster,Western,tshirts,Women,roadster women pack of 2 pure cotton t shirts,,1798,50% OFF,"XS, S, M, L, XL",4.4,920
https://www.myntra.com/leggings/tag-7/tag-7-women-pack-of-2-solid-ankle-length-leggings/10662122/buy,10662122,TAG 7,Western,leggings,Women,tag 7 women pack of 2 solid ankle length leggings,,2299,66% OFF,"S, M, L, XL, XXL, 3XL, 4XL",4.1,920
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381454/buy,17381454,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,,1098,,"XS, S, M, L, XL",4.2,920
https://www.myntra.com/kurtas/vishudh/vishudh-women-red--gold-toned-printed-straight-kurta/5597189/buy,5597189,Vishudh,Indian Wear,kurtas,Women,vishudh women red  gold toned printed straight kurta,492,1449,66% OFF,"S, M, L, XL, XXL",3.9,919
https://www.myntra.com/kurtas/varanga/varanga-women-black--white-printed-straight-kurta/12488786/buy,12488786,Varanga,Indian Wear,kurtas,Women,varanga women black  white printed straight kurta,724,2499,71% OFF,"S, M, L, XL, XXL",4,919
https://www.myntra.com/kurta-sets/sangria/sangria-women-maroon--golden-pure-cotton-printed-kurta-with-palazzos/13437250/buy,13437250,Sangria,Indian Wear,kurta-sets,Women,sangria women maroon  golden pure cotton printed kurta with palazzos,979,2799,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4,919
https://www.myntra.com/jeans/roadster/roadster-women-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/8091637/buy,8091637,Roadster,Western,jeans,Women,roadster women blue skinny fit mid rise clean look stretchable jeans,,1599,45% OFF,"26, 28, 30, 32, 34, 36",4.1,919
https://www.myntra.com/jeans/roadster/roadster-women-blue-narrow-wide-leg-high-rise-clean-look-stretchable-jeans/13315066/buy,13315066,Roadster,Western,jeans,Women,roadster women blue narrow wide leg high rise clean look stretchable jeans,,2299,50% OFF,"26, 28, 30, 32, 34, 36",4.3,919
https://www.myntra.com/jackets/ether/ether-women-navy-blue-solid-bomber/6697880/buy,6697880,ether,Western,jackets,Women,ether women navy blue solid bomber,,2499,65% OFF,"S, M, L, XL",4.3,919
https://www.myntra.com/track-pants/hubberholme/hubberholme-white-slim-fit-track-pants/1757662/buy,1757662,Hubberholme,Bottom Wear,track-pants,Men,hubberholme white slim fit track pants,449,999,55% OFF,"S, M, L, XL, XXL, 3XL, 4XL",3.5,918
https://www.myntra.com/kurta-sets/vishudh/vishudh-women-navy-blue--pink-printed-kurta-with-palazzos/11938226/buy,11938226,Vishudh,Indian Wear,kurta-sets,Women,vishudh women navy blue  pink printed kurta with palazzos,805,4029,80% OFF,"S, M, L, XL, XXL",3.9,918
https://www.myntra.com/tops/roadster/roadster-women-white--black-solid-a-line-pure-cotton-top/11373682/buy,11373682,Roadster,Western,tops,Women,roadster women white  black solid a line pure cotton top,,599,55% OFF,"XS, S, M, L, XL",4.2,918
https://www.myntra.com/jeans/roadster/roadster-men-grey-slim-fit-mid-rise-clean-look-stretchable-jeans/9575361/buy,9575361,Roadster,Bottom Wear,jeans,Men,roadster men grey slim fit mid rise clean look stretchable jeans,,1699,,"28, 30, 32, 34, 36",3.8,917
https://www.myntra.com/socks/mast--harbour/mast--harbour-men-pack-of-3-shoeliners/10986404/buy,10986404,Mast & Harbour,Inner Wear &  Sleep Wear,socks,Men,mast  harbour men pack of 3 shoeliners,374,499,25% OFF,Onesize,4.3,917
https://www.myntra.com/shirts/roadster/roadster-men-navy-blue--green-checked-pure-cotton-casual-sustainable-shirt/11896050/buy,11896050,Roadster,Topwear,shirts,Men,roadster men navy blue  green checked pure cotton casual sustainable shirt,714,1299,45% OFF,"38, 40, 42, 44",4.4,917
https://www.myntra.com/kurtas/anouk/anouk-women-red--black-checked-straight-kurta/8621731/buy,8621731,Anouk,Indian Wear,kurtas,Women,anouk women red  black checked straight kurta,809,1799,55% OFF,"XS, S, M, L, XL",4,917
https://www.myntra.com/dresses/myshka/myshka-maroon--golden-ethnic-motifs-printed-cotton-maxi-dress/11629168/buy,11629168,Myshka,Indian Wear,dresses,Women,myshka maroon  golden ethnic motifs printed cotton maxi dress,959,2999,68% OFF,"S, M, L, XL, XXL",4.1,917
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-pure-cotton-t-shirts/17381478/buy,17381478,Roadster,Western,tshirts,Women,roadster women pack of 2 pure cotton t shirts,,1198,50% OFF,"XS, S, M, L, XL",4.2,917
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-black-polka-dots-pleated-top/7645398/buy,7645398,her by invictus,Western,tops,Women,her by invictus black polka dots pleated top,,1499,55% OFF,"S, M, L, XL, XXL",4.3,917
https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-mildly-distressed-stretchable-jeans/11274626/buy,11274626,Roadster,Bottom Wear,jeans,Men,roadster men blue skinny fit mid rise mildly distressed stretchable jeans,1079,1799,40% OFF,"28, 30, 32, 34, 36, 38, 40",4,916
https://www.myntra.com/kurtas/sangria/sangria-women-black--white-printed-straight-kurta/10560802/buy,10560802,Sangria,Plus Size,kurtas,Women,sangria women black  white printed straight kurta,439,1099,"60% OFF, Hurry*","XS, S, M, L, XL, XXL, 3XL",4.1,916
